tract_geoid,community_plan_area,council_district,permits_per_1000_units,pressure_score_equal_weight,quadrant
06037206303,Central City,14,11.4,76.0,High pressure / Low development (priority gap)
06037214903,Wilshire,5,59.45,75.9,High pressure / Low development (priority gap)
06037120103,Mission Hills - Panorama City - North Hills,6,71.18,75.9,High pressure / Low development (priority gap)
06037224010,Central City,14,18.95,75.8,High pressure / Low development (priority gap)
06037207103,Central City North,1,58.82,75.6,High pressure / Low development (priority gap)
06037212306,Wilshire,10,37.77,75.6,High pressure / Low development (priority gap)
06037211803,Wilshire,10,21.63,75.5,High pressure / Low development (priority gap)
06037208902,Westlake,1,27.97,75.4,High pressure / Low development (priority gap)
06037236204,West Adams - Baldwin Hills - Leimert,10,78.02,75.4,High pressure / Low development (priority gap)
06037191203,Hollywood,13,84.38,75.2,High pressure / Low development (priority gap)
06037208301,Westlake,1,58.0,75.0,High pressure / Low development (priority gap)
06037117510,Mission Hills - Panorama City - North Hills,7,57.17,75.0,High pressure / Low development (priority gap)
06037209510,Westlake,1,25.08,75.0,High pressure / Low development (priority gap)
06037125322,North Hollywood - Valley Village,2,7.2,74.9,High pressure / Low development (priority gap)
06037190101,Hollywood,13,11.58,74.8,High pressure / Low development (priority gap)
06037117405,Mission Hills - Panorama City - North Hills,7,62.91,74.8,High pressure / Low development (priority gap)
06037209403,Westlake,1,6.37,74.6,High pressure / Low development (priority gap)
06037120104,Mission Hills - Panorama City - North Hills,6,51.44,74.5,High pressure / Low development (priority gap)
06037189502,Hollywood,4,78.25,74.5,High pressure / Low development (priority gap)
06037213201,Wilshire,10,37.58,74.5,High pressure / Low development (priority gap)
06037190201,Hollywood,13,20.64,74.4,High pressure / Low development (priority gap)
06037212203,Wilshire,10,18.86,74.4,High pressure / Low development (priority gap)
06037139505,Encino - Tarzana,4,33.17,74.4,High pressure / Low development (priority gap)
06037211804,Wilshire,10,38.88,74.4,High pressure / Low development (priority gap)
06037191120,Hollywood,13,105.29,74.2,High pressure / Low development (priority gap)
06037206302,Central City,14,1.27,74.2,High pressure / Low development (priority gap)
06037190202,Hollywood,13,14.41,74.1,High pressure / Low development (priority gap)
06037209810,Westlake,1,33.59,74.1,High pressure / Low development (priority gap)
06037191710,Hollywood,13,98.23,74.1,High pressure / Low development (priority gap)
06037211310,Wilshire,10,36.15,74.1,High pressure / Low development (priority gap)
06037191201,Hollywood,13,55.33,74.0,High pressure / Low development (priority gap)
06037106407,Sylmar,7,41.8,74.0,High pressure / Low development (priority gap)
06037207304,Central City,14,0.53,74.0,High pressure / Low development (priority gap)
06037208904,Westlake,1,14.72,73.9,High pressure / Low development (priority gap)
06037209401,Westlake,1,28.71,73.9,High pressure / Low development (priority gap)
06037213402,Wilshire,1,73.26,73.8,High pressure / Low development (priority gap)
06037211122,Wilshire,13,21.69,73.8,High pressure / Low development (priority gap)
06037117407,Mission Hills - Panorama City - North Hills,6,43.9,73.8,High pressure / Low development (priority gap)
06037208720,Westlake,1,24.51,73.7,High pressure / Low development (priority gap)
06037134305,Canoga Park-West Hills-Winnetka-Woodland Hills,3,32.18,73.7,High pressure / Low development (priority gap)
06037120107,Mission Hills - Panorama City - North Hills,6,48.43,73.4,High pressure / Low development (priority gap)
06037212304,Wilshire,10,43.03,73.3,High pressure / Low development (priority gap)
06037212620,Wilshire,4,67.57,73.1,High pressure / Low development (priority gap)
06037211320,Wilshire,10,68.81,73.0,High pressure / Low development (priority gap)
06037117408,Mission Hills - Panorama City - North Hills,6,62.17,72.9,High pressure / Low development (priority gap)
06037211922,Wilshire,10,20.73,72.9,High pressure / Low development (priority gap)
06037208401,Westlake,1,71.82,72.7,High pressure / Low development (priority gap)
06037211802,Wilshire,10,41.39,72.7,High pressure / Low development (priority gap)
06037206202,Central City,14,9.79,72.5,High pressure / Low development (priority gap)
06037212305,Wilshire,10,81.52,72.5,High pressure / Low development (priority gap)
06037236102,West Adams - Baldwin Hills - Leimert,8,21.18,72.4,High pressure / Low development (priority gap)
06037224420,South Los Angeles,1,59.5,72.4,High pressure / Low development (priority gap)
06037213401,Wilshire,1,36.07,72.4,High pressure / Low development (priority gap)
06037238310,South Los Angeles,8,112.23,72.4,High pressure / Low development (priority gap)
06037209104,Westlake,1,16.9,72.3,High pressure / Low development (priority gap)
06037208903,Westlake,1,27.71,72.3,High pressure / Low development (priority gap)
06037120020,Mission Hills - Panorama City - North Hills,6,76.86,72.2,High pressure / Low development (priority gap)
06037228500,Southeast Los Angeles,9,122.78,72.2,High pressure / Low development (priority gap)
06037125321,North Hollywood - Valley Village,2,47.14,72.2,High pressure / Low development (priority gap)
06037208801,Westlake,1,15.41,72.1,High pressure / Low development (priority gap)
06037224410,South Los Angeles,1,137.9,72.1,High pressure / Low development (priority gap)
06037128210,Van Nuys - North Sherman Oaks,6,95.87,72.0,High pressure / Low development (priority gap)
06037191720,Hollywood,13,96.84,72.0,High pressure / Low development (priority gap)
06037240010,Southeast Los Angeles,9,89.89,72.0,High pressure / Low development (priority gap)
06037190401,Hollywood,4,56.41,72.0,High pressure / Low development (priority gap)
06037236101,West Adams - Baldwin Hills - Leimert,10,108.54,71.9,High pressure / Low development (priority gap)
06037212420,Wilshire,10,51.28,71.9,High pressure / Low development (priority gap)
06037211910,Wilshire,10,32.23,71.9,High pressure / Low development (priority gap)
06037214505,Wilshire,5,7.04,71.9,High pressure / Low development (priority gap)
06037190102,Hollywood,13,29.57,71.8,High pressure / Low development (priority gap)
06037234302,West Adams - Baldwin Hills - Leimert,10,103.81,71.8,High pressure / Low development (priority gap)
06037207502,Central City,14,2.1,71.8,High pressure / Low development (priority gap)
06037204600,Boyle Heights,14,98.87,71.8,High pressure / Low development (priority gap)
06037206054,Boyle Heights,14,42.96,71.8,High pressure / Low development (priority gap)
06037212102,Wilshire,10,17.1,71.8,High pressure / Low development (priority gap)
06037120030,Mission Hills - Panorama City - North Hills,6,71.53,71.7,High pressure / Low development (priority gap)
06037234901,West Adams - Baldwin Hills - Leimert,8,83.58,71.7,High pressure / Low development (priority gap)
06037191810,Hollywood,13,129.73,71.6,High pressure / Low development (priority gap)
06037190901,Hollywood,13,92.79,71.6,High pressure / Low development (priority gap)
06037212101,Wilshire,10,10.12,71.6,High pressure / Low development (priority gap)
06037294701,Wilmington - Harbor City,15,55.0,71.6,High pressure / Low development (priority gap)
06037211202,Wilshire,10,55.15,71.6,High pressure / Low development (priority gap)
06037199120,Northeast Los Angeles,14,78.35,71.5,High pressure / Low development (priority gap)
06037212501,Wilshire,10,14.91,71.5,High pressure / Low development (priority gap)
06037191610,Hollywood,13,103.83,71.5,High pressure / Low development (priority gap)
06037212502,Wilshire,10,20.0,71.5,High pressure / Low development (priority gap)
06037191000,Hollywood,13,30.44,71.5,High pressure / Low development (priority gap)
06037127520,Reseda - West Van Nuys,6,28.63,71.4,High pressure / Low development (priority gap)
06037221401,South Los Angeles,10,91.54,71.3,High pressure / Low development (priority gap)
06037221120,South Los Angeles,1,83.43,71.3,High pressure / Low development (priority gap)
06037117530,Mission Hills - Panorama City - North Hills,6,42.54,71.3,High pressure / Low development (priority gap)
06037208502,Westlake,13,58.1,71.2,High pressure / Low development (priority gap)
06037213320,Wilshire,10,65.91,71.2,High pressure / Low development (priority gap)
06037228900,Southeast Los Angeles,9,31.66,71.1,High pressure / Low development (priority gap)
06037231902,Southeast Los Angeles,9,55.97,71.1,High pressure / Low development (priority gap)
06037237202,South Los Angeles,8,145.48,71.0,High pressure / Low development (priority gap)
06037226410,Southeast Los Angeles,9,70.2,71.0,High pressure / Low development (priority gap)
06037212410,Wilshire,10,16.27,71.0,High pressure / Low development (priority gap)
06037231710,South Los Angeles,9,69.98,70.9,High pressure / Low development (priority gap)
06037204200,Boyle Heights,14,121.38,70.9,High pressure / Low development (priority gap)
06037221500,South Los Angeles,8,117.24,70.8,High pressure / Low development (priority gap)
06037189904,Hollywood,4,39.53,70.7,High pressure / Low development (priority gap)
06037122122,Sun Valley - La Tuna Canyon,6,77.75,70.7,High pressure / Low development (priority gap)
06037228410,Southeast Los Angeles,9,106.9,70.7,High pressure / Low development (priority gap)
06037209106,Westlake,1,4.43,70.6,High pressure / Low development (priority gap)
06037296600,San Pedro,15,100.27,70.6,High pressure / Low development (priority gap)
06037229410,Southeast Los Angeles,9,109.43,70.6,High pressure / Low development (priority gap)
06037234301,West Adams - Baldwin Hills - Leimert,10,125.7,70.6,High pressure / Low development (priority gap)
06037123304,North Hollywood - Valley Village,2,141.33,70.6,High pressure / Low development (priority gap)
06037125404,North Hollywood - Valley Village,2,20.44,70.6,High pressure / Low development (priority gap)
06037294810,Wilmington - Harbor City,15,67.7,70.5,High pressure / Low development (priority gap)
06037124104,North Hollywood - Valley Village,2,139.41,70.4,High pressure / Low development (priority gap)
06037190801,Hollywood,13,85.9,70.3,High pressure / Low development (priority gap)
06037134521,Canoga Park-West Hills-Winnetka-Woodland Hills,3,110.1,70.3,High pressure / Low development (priority gap)
06037212204,Wilshire,1,19.3,70.3,High pressure / Low development (priority gap)
06037211124,Wilshire,1,13.61,70.3,High pressure / Low development (priority gap)
06037211121,Wilshire,13,80.69,70.3,High pressure / Low development (priority gap)
06037240401,South Los Angeles,8,101.1,70.2,High pressure / Low development (priority gap)
06037210010,Westlake,1,49.68,70.2,High pressure / Low development (priority gap)
06037192510,Wilshire,13,137.02,70.1,High pressure / Low development (priority gap)
06037229200,Southeast Los Angeles,9,87.88,70.1,High pressure / Low development (priority gap)
06037190701,Hollywood,13,13.49,70.1,High pressure / Low development (priority gap)
06037192620,Wilshire,13,59.23,70.1,High pressure / Low development (priority gap)
06037113425,Chatsworth - Porter Ranch,3,5.09,70.0,High pressure / Low development (priority gap)
06037206053,Boyle Heights,14,31.14,70.0,High pressure / Low development (priority gap)
06037292001,Harbor Gateway,15,51.74,70.0,High pressure / Low development (priority gap)
06037199900,Northeast Los Angeles,14,99.78,69.9,High pressure / Low development (priority gap)
06037209402,Westlake,1,21.16,69.9,High pressure / Low development (priority gap)
06037231220,South Los Angeles,9,73.66,69.8,High pressure / Low development (priority gap)
06037190520,Hollywood,13,57.62,69.8,High pressure / Low development (priority gap)
06037134520,Canoga Park-West Hills-Winnetka-Woodland Hills,3,60.66,69.5,High pressure / Low development (priority gap)
06037231100,Southeast Los Angeles,9,116.67,69.5,High pressure / Low development (priority gap)
06037120106,Mission Hills - Panorama City - North Hills,6,68.99,69.4,High pressure / Low development (priority gap)
06037134522,Canoga Park-West Hills-Winnetka-Woodland Hills,3,122.05,69.4,High pressure / Low development (priority gap)
06037207101,Central City North,1,29.67,69.4,High pressure / Low development (priority gap)
06037127220,Van Nuys - North Sherman Oaks,6,134.19,69.4,High pressure / Low development (priority gap)
06037113239,Chatsworth - Porter Ranch,3,33.3,69.3,High pressure / Low development (priority gap)
06037127604,Van Nuys - North Sherman Oaks,6,90.56,69.3,High pressure / Low development (priority gap)
06037203300,Northeast Los Angeles,14,108.41,69.3,High pressure / Low development (priority gap)
06037243100,Southeast Los Angeles,15,103.02,69.2,High pressure / Low development (priority gap)
06037209201,Westlake,1,2.9,69.1,High pressure / Low development (priority gap)
06037190402,Hollywood,13,31.8,69.0,High pressure / Low development (priority gap)
06037199001,Northeast Los Angeles,1,41.06,69.0,High pressure / Low development (priority gap)
06037134710,Canoga Park-West Hills-Winnetka-Woodland Hills,3,127.5,68.9,High pressure / Low development (priority gap)
06037191302,Hollywood,13,123.95,68.9,High pressure / Low development (priority gap)
06037212202,Wilshire,1,34.92,68.8,High pressure / Low development (priority gap)
06037192420,Wilshire,4,115.26,68.7,High pressure / Low development (priority gap)
06037231800,Southeast Los Angeles,9,88.42,68.7,High pressure / Low development (priority gap)
06037294900,Wilmington - Harbor City,15,70.49,68.7,High pressure / Low development (priority gap)
06037296220,San Pedro,15,22.96,68.7,High pressure / Low development (priority gap)
06037101221,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,42.7,68.6,High pressure / Low development (priority gap)
06037191620,Hollywood,13,81.61,68.6,High pressure / Low development (priority gap)
06037228210,Southeast Los Angeles,9,79.48,68.6,High pressure / Low development (priority gap)
06037131801,Reseda - West Van Nuys,3,94.71,68.5,High pressure / Low development (priority gap)
06037207400,Central City,14,12.49,68.5,High pressure / Low development (priority gap)
06037224200,Westlake,1,54.68,68.4,High pressure / Low development (priority gap)
06037191110,Hollywood,13,67.2,68.4,High pressure / Low development (priority gap)
06037199700,Northeast Los Angeles,1,61.51,68.2,High pressure / Low development (priority gap)
06037228600,Southeast Los Angeles,9,104.86,68.1,High pressure / Low development (priority gap)
06037191820,Hollywood,13,56.4,67.9,High pressure / Low development (priority gap)
06037134306,Canoga Park-West Hills-Winnetka-Woodland Hills,3,126.63,67.9,High pressure / Low development (priority gap)
06037191901,Hollywood,4,72.97,67.9,High pressure / Low development (priority gap)
06037228320,Southeast Los Angeles,9,124.84,67.8,High pressure / Low development (priority gap)
06037221303,South Los Angeles,10,109.83,67.7,High pressure / Low development (priority gap)
06037228220,Southeast Los Angeles,9,95.97,67.7,High pressure / Low development (priority gap)
06037236206,West Adams - Baldwin Hills - Leimert,10,26.13,67.7,High pressure / Low development (priority gap)
06037232110,South Los Angeles,9,116.65,67.7,High pressure / Low development (priority gap)
06037206050,Boyle Heights,14,28.75,67.7,High pressure / Low development (priority gap)
06037231301,South Los Angeles,8,68.48,67.6,High pressure / Low development (priority gap)
06037211201,Wilshire,10,103.72,67.6,High pressure / Low development (priority gap)
06037237720,South Los Angeles,8,118.39,67.6,High pressure / Low development (priority gap)
06037226420,Southeast Los Angeles,9,96.4,67.5,High pressure / Low development (priority gap)
06037192520,Wilshire,13,115.64,67.5,High pressure / Low development (priority gap)
06037221402,South Los Angeles,10,129.84,67.4,High pressure / Low development (priority gap)
06037296902,San Pedro,15,126.48,67.3,High pressure / Low development (priority gap)
06037239701,Southeast Los Angeles,9,101.92,67.3,High pressure / Low development (priority gap)
06037232120,South Los Angeles,9,121.04,67.3,High pressure / Low development (priority gap)
06037208002,Westlake,1,35.48,67.2,High pressure / Low development (priority gap)
06037204420,Boyle Heights,14,63.19,67.2,High pressure / Low development (priority gap)
06037190702,Hollywood,13,56.68,67.1,High pressure / Low development (priority gap)
06037208620,Westlake,13,85.39,67.0,High pressure / Low development (priority gap)
06037125403,North Hollywood - Valley Village,2,26.37,67.0,High pressure / Low development (priority gap)
06037226002,Central City,14,6.41,66.9,High pressure / Low development (priority gap)
06037229420,Southeast Los Angeles,9,86.71,66.9,High pressure / Low development (priority gap)
06037208001,Westlake,1,10.61,66.8,High pressure / Low development (priority gap)
06037228720,Southeast Los Angeles,9,83.41,66.8,High pressure / Low development (priority gap)
06037211704,Wilshire,10,36.38,66.8,High pressure / Low development (priority gap)
06037240902,Southeast Los Angeles,8,106.93,66.8,High pressure / Low development (priority gap)
06037224600,Southeast Los Angeles,9,84.03,66.7,High pressure / Low development (priority gap)
06037127712,Van Nuys - North Sherman Oaks,6,111.31,66.7,High pressure / Low development (priority gap)
06037197700,Silver Lake - Echo Park - Elysian Valley,1,128.24,66.6,High pressure / Low development (priority gap)
06037221110,South Los Angeles,1,71.77,66.6,High pressure / Low development (priority gap)
06037231603,South Los Angeles,9,65.79,66.6,High pressure / Low development (priority gap)
06037211410,Wilshire,10,95.46,66.5,High pressure / Low development (priority gap)
06037135116,Canoga Park-West Hills-Winnetka-Woodland Hills,3,23.1,66.5,High pressure / Low development (priority gap)
06037203100,Northeast Los Angeles,14,88.82,66.4,High pressure / Low development (priority gap)
06037134905,Canoga Park-West Hills-Winnetka-Woodland Hills,3,35.05,66.3,High pressure / Low development (priority gap)
06037240500,Southeast Los Angeles,8,113.22,66.3,High pressure / Low development (priority gap)
06037127910,Van Nuys - North Sherman Oaks,6,123.43,66.3,High pressure / Low development (priority gap)
06037192700,Wilshire,13,104.17,66.3,High pressure / Low development (priority gap)
06037265523,Westwood,5,78.16,66.3,High pressure / Low development (priority gap)
06037212900,Wilshire,10,82.13,66.2,High pressure / Low development (priority gap)
06037296901,San Pedro,15,113.24,66.2,High pressure / Low development (priority gap)
06037237102,South Los Angeles,9,94.79,66.2,High pressure / Low development (priority gap)
06037293206,Harbor Gateway,15,85.4,66.2,High pressure / Low development (priority gap)
06037239802,Southeast Los Angeles,9,121.23,66.1,High pressure / Low development (priority gap)
06037228310,Southeast Los Angeles,9,88.99,66.1,High pressure / Low development (priority gap)
06037293205,Harbor Gateway,15,69.24,66.1,High pressure / Low development (priority gap)
06037207102,Central City North,1,14.78,66.1,High pressure / Low development (priority gap)
06037211703,Wilshire,13,28.02,66.0,High pressure / Low development (priority gap)
06037106408,Sylmar,7,15.87,66.0,High pressure / Low development (priority gap)
06037227010,Southeast Los Angeles,9,96.92,66.0,High pressure / Low development (priority gap)
06037124903,North Hollywood - Valley Village,2,114.7,65.9,High pressure / Low development (priority gap)
06037221602,South Los Angeles,1,96.34,65.9,High pressure / Low development (priority gap)
06037211420,Wilshire,10,130.72,65.8,High pressure / Low development (priority gap)
06037294830,Wilmington - Harbor City,15,86.83,65.8,High pressure / Low development (priority gap)
06037143301,North Hollywood - Valley Village,2,58.54,65.8,High pressure / Low development (priority gap)
06037123204,North Hollywood - Valley Village,2,137.77,65.7,High pressure / Low development (priority gap)
06037207306,Central City,14,1.06,65.7,High pressure / Low development (priority gap)
06037207308,Central City,14,1.03,65.6,High pressure / Low development (priority gap)
06037206010,Central City North,1,69.46,65.6,High pressure / Low development (priority gap)
06037239201,Southeast Los Angeles,9,77.73,65.5,High pressure / Low development (priority gap)
06037143606,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,4,15.07,65.5,High pressure / Low development (priority gap)
06037218120,West Adams - Baldwin Hills - Leimert,10,137.82,65.5,High pressure / Low development (priority gap)
06037189201,Hollywood,4,83.92,65.5,High pressure / Low development (priority gap)
06037122410,Sun Valley - La Tuna Canyon,2,92.86,65.5,High pressure / Low development (priority gap)
06037190902,Hollywood,13,123.91,65.5,High pressure / Low development (priority gap)
06037240200,Southeast Los Angeles,8,135.4,65.5,High pressure / Low development (priority gap)
06037231720,South Los Angeles,9,86.9,65.5,High pressure / Low development (priority gap)
06037190802,Hollywood,13,77.41,65.4,High pressure / Low development (priority gap)
06037271801,Palms - Mar Vista - Del Rey,5,96.5,65.4,High pressure / Low development (priority gap)
06037215101,Wilshire,5,19.38,65.4,High pressure / Low development (priority gap)
06037214501,Wilshire,5,39.45,65.3,High pressure / Low development (priority gap)
06037221304,South Los Angeles,10,66.45,65.3,High pressure / Low development (priority gap)
06037139504,Encino - Tarzana,4,59.61,65.2,High pressure / Low development (priority gap)
06037214504,Wilshire,5,13.35,65.2,High pressure / Low development (priority gap)
06037237101,South Los Angeles,9,124.51,65.1,High pressure / Low development (priority gap)
06037214503,Wilshire,5,25.0,65.1,High pressure / Low development (priority gap)
06037120108,Mission Hills - Panorama City - North Hills,6,41.61,65.1,High pressure / Low development (priority gap)
06037297110,San Pedro,15,78.85,65.0,High pressure / Low development (priority gap)
06037221220,South Los Angeles,1,92.98,65.0,High pressure / Low development (priority gap)
06037124902,North Hollywood - Valley Village,2,106.63,65.0,High pressure / Low development (priority gap)
06037291110,Harbor Gateway,15,123.26,65.0,High pressure / Low development (priority gap)
06037294120,Wilmington - Harbor City,15,111.3,65.0,High pressure / Low development (priority gap)
06037239202,Southeast Los Angeles,9,130.47,64.9,High pressure / Low development (priority gap)
06037265521,Westwood,5,32.75,64.9,High pressure / Low development (priority gap)
06037191500,Hollywood,13,138.07,64.7,High pressure / Low development (priority gap)
06037143200,Sherman Oaks-Studio City-Toluca Lake-Cahuenga Pass,2,120.21,64.7,High pressure / Low development (priority gap)
06037216902,Wilshire,10,98.92,64.7,High pressure / Low development (priority gap)
06037189905,Hollywood,4,97.39,64.6,High pressure / Low development (priority gap)
06037120105,Mission Hills - Panorama City - North Hills,6,131.43,64.6,High pressure / Low development (priority gap)
06037127103,Van Nuys - North Sherman Oaks,2,76.16,64.5,High pressure / Low development (priority gap)
06037267504,West Los Angeles,11,50.8,64.5,High pressure / Low development (priority gap)
06037190302,Hollywood,13,34.73,64.5,High pressure / Low development (priority gap)
06037127102,Van Nuys - North Sherman Oaks,2,145.95,64.4,High pressure / Low development (priority gap)
06037134906,Canoga Park-West Hills-Winnetka-Woodland Hills,3,10.15,64.4,High pressure / Low development (priority gap)
06037123206,North Hollywood - Valley Village,2,128.03,64.3,High pressure / Low development (priority gap)
06037211123,Wilshire,10,0.79,64.3,High pressure / Low development (priority gap)
06037242000,Southeast Los Angeles,15,143.8,64.3,High pressure / Low development (priority gap)
06037239602,Southeast Los Angeles,9,116.82,64.2,High pressure / Low development (priority gap)
06037232800,Southeast Los Angeles,9,120.62,64.2,High pressure / Low development (priority gap)
06037128302,Van Nuys - North Sherman Oaks,6,98.14,64.1,High pressure / Low development (priority gap)
06037320201,,7,1.76,64.1,High pressure / Low development (priority gap)
06037294520,Wilmington - Harbor City,15,107.3,64.1,High pressure / Low development (priority gap)
06037216401,Wilshire,5,123.85,64.1,High pressure / Low development (priority gap)
06037113238,Chatsworth - Porter Ranch,3,102.65,63.9,High pressure / Low development (priority gap)
06037242300,Southeast Los Angeles,15,119.22,63.9,High pressure / Low development (priority gap)
06037239320,Southeast Los Angeles,9,96.85,63.9,High pressure / Low development (priority gap)
06037208710,Westlake,1,21.31,63.9,High pressure / Low development (priority gap)
06037115203,Northridge,12,64.7,63.7,High pressure / Low development (priority gap)
06037132301,Reseda - West Van Nuys,4,71.52,63.6,High pressure / Low development (priority gap)
06037241400,Southeast Los Angeles,15,124.37,63.5,High pressure / Low development (priority gap)
06037216202,Wilshire,10,90.07,63.5,High pressure / Low development (priority gap)
06037128102,Van Nuys - North Sherman Oaks,2,147.06,63.4,High pressure / Low development (priority gap)
06037213310,Wilshire,1,143.73,63.4,High pressure / Low development (priority gap)
06037120400,Mission Hills - Panorama City - North Hills,6,136.13,63.3,High pressure / Low development (priority gap)
06037221601,South Los Angeles,8,133.14,63.3,High pressure / Low development (priority gap)
06037199400,Northeast Los Angeles,1,111.54,63.2,High pressure / Low development (priority gap)
06037208610,Westlake,13,136.89,63.2,High pressure / Low development (priority gap)
06037277200,Westchester - Playa del Rey,11,101.26,63.1,High pressure / Low development (priority gap)
06037239310,Southeast Los Angeles,9,105.42,63.0,High pressure / Low development (priority gap)
06037229300,Southeast Los Angeles,9,83.51,63.0,High pressure / Low development (priority gap)
06037214400,Wilshire,5,90.14,62.9,High pressure / Low development (priority gap)
06037267403,West Los Angeles,11,105.06,62.9,High pressure / Low development (priority gap)
06037212610,Wilshire,4,51.56,62.9,High pressure / Low development (priority gap)
06037133102,Reseda - West Van Nuys,3,71.59,62.8,High pressure / Low development (priority gap)
06037224310,Westlake,1,65.68,62.8,High pressure / Low development (priority gap)
06037127803,Van Nuys - North Sherman Oaks,6,105.46,62.8,High pressure / Low development (priority gap)
06037104701,Arleta - Pacoima,7,97.9,62.7,High pressure / Low development (priority gap)
06037189906,Hollywood,13,36.1,62.7,High pressure / Low development (priority gap)
06037207305,Central City,14,11.34,62.7,High pressure / Low development (priority gap)
06037218900,West Adams - Baldwin Hills - Leimert,10,108.85,62.7,High pressure / Low development (priority gap)
06037137202,Canoga Park-West Hills-Winnetka-Woodland Hills,3,86.39,62.7,High pressure / Low development (priority gap)
06037269908,Palms - Mar Vista - Del Rey,5,28.42,62.7,High pressure / Low development (priority gap)
06037131021,Reseda - West Van Nuys,4,68.2,62.6,High pressure / Low development (priority gap)
06037207901,Central City,14,3.17,62.6,High pressure / Low development (priority gap)
06037189501,Hollywood,4,53.26,62.6,High pressure / Low development (priority gap)
06037296210,San Pedro,15,84.52,62.6,High pressure / Low development (priority gap)
06037232601,South Los Angeles,8,104.45,62.5,High pressure / Low development (priority gap)
06037199802,Northeast Los Angeles,14,68.36,62.5,High pressure / Low development (priority gap)
06037226701,Southeast Los Angeles,9,122.15,62.4,High pressure / Low development (priority gap)
06037125310,North Hollywood - Valley Village,2,132.05,62.4,High pressure / Low development (priority gap)
06037104822,Arleta - Pacoima,7,92.17,62.4,High pressure / Low development (priority gap)
06037239330,Southeast Los Angeles,9,96.13,62.2,High pressure / Low development (priority gap)
06037209820,Westlake,1,71.51,62.2,High pressure / Low development (priority gap)
06037127210,Van Nuys - North Sherman Oaks,6,104.46,62.1,High pressure / Low development (priority gap)
06037239702,Southeast Los Angeles,9,127.2,62.1,High pressure / Low development (priority gap)
06037232702,South Los Angeles,9,59.15,62.1,High pressure / Low development (priority gap)
06037199201,Northeast Los Angeles,1,74.13,62.1,High pressure / Low development (priority gap)
06037240301,South Los Angeles,8,68.89,62.0,High pressure / Low development (priority gap)
06037291120,Harbor Gateway,15,146.34,61.9,High pressure / Low development (priority gap)
06037131022,Reseda - West Van Nuys,3,62.16,61.9,High pressure / Low development (priority gap)
06037113427,Chatsworth - Porter Ranch,3,41.75,61.9,High pressure / Low development (priority gap)
